"notes","hqCity","keywords","hqCountry","hqProvince","qualityFlags","sourceOrigin","sourceUrl","themes","primaryTheme","confidenceScore","seedBatchId","hqRegion","industrySectorsDerivedReasons","sectorSynonymsUsed","geoScope","lastVerifiedAt","website","entityType","synonyms","themeConfidence","industryLabel","tags","industrySectors","domain","name","normalizedName","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Startup développant des interfaces cerveau-machine basées sur l'IA pour applications robotiques avancées.","Montréal","[]","CA","QC","[]","IMPORT","https://neurosynthetix.com","[""Technologies & IA"", ""robotique"", ""deeptech""]","Technologies & IA","80","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://neurosynthetix.com","company","[]","0.85","Technologies & IA","[]","[""Technologies & IA"", ""deeptech"", ""robotique""]","neurosynthetix.com","NeuroSynthetix","neurosynthetix","1c8ebdd723334bddb03da0a3","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise spécialisée en SaaS de cybersécurité et analyse prédictive des risques financiers basée sur l'IA.","Laval","[]","CA","QC","[]","IMPORT","https://clearrisqanalytics.ca","[""cybersécurité"", ""fintech"", ""IA""]","cybersécurité","77","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://clearrisqanalytics.ca","company","[]","0.78","Technologies & IA","[]","[""Technologies & IA"", ""cybersécurité"", ""fintech""]","clearrisqanalytics.ca","ClearRisk Analytics","clearrisk analytics","2861b211ac18496d84a3d2c1","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Développeur de plateformes éducatives adaptatives utilisant l'IA pour personnaliser l'apprentissage en ligne.","Québec City","[]","CA","QC","[]","IMPORT","https://eduglobeai.qc.ca","[""edtech"", ""IA"", ""logiciels d'entreprise""]","edtech","75","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://eduglobeai.qc.ca","company","[]","0.8","Technologies & IA","[]","[""Technologies & IA"", ""edtech"", ""IA""]","eduglobeai.qc.ca","EduGlobe AI","eduglobe ai","0d49b808d58b4ff5935379be","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Association regroupant startups et scale-ups en technologies immobilières innovantes, spécialisés en automatisation et IA.","Montréal","[]","CA","QC","[]","IMPORT","https://proptechinnovmtl.org","[""proptech"", ""automatisation"", ""IA""]","proptech","70","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://proptechinnovmtl.org","organization","[]","0.7","Technologies & IA","[]","[""Technologies & IA"", ""proptech"", ""automatisation""]","proptechinnovmtl.org","PropTech Innov Montréal","proptech innov montreal","5a2a607e93fe49379281e6db","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Scale-up développant une plateforme blockchain pour la traçabilité et la transparence des initiatives environnementales.","Brossard","[]","CA","QC","[]","IMPORT","https://greenchainsolutions.com","[""blockchain"", ""cleantech"", ""saaS""]","blockchain","78","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://greenchainsolutions.com","company","[]","0.82","Technologies & IA","[]","[""Technologies & IA"", ""blockchain"", ""cleantech""]","greenchainsolutions.com","GreenChain Solutions","greenchain solutions","fda61beb87484f3794bd46ae","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup spécialisée en solutions d'intelligence artificielle appliquées à l'analyse avancée des données neurologiques.","Montreal","[]","CA","QC","[]","IMPORT","https://neurolyticsai.com","[""IA"", ""deep learning"", ""neurosciences""]","Technologies & IA","88","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://neurolyticsai.com","company","[]","0.85","Technologies & IA","[]","[""Technologies & IA"", ""deeptech"", ""SaaS""]","neurolyticsai.com","Neurolytics AI","neurolytics ai","f1ced1348d7e46c8a3ecce7d","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise spécialisée en cybersécurité pour les infrastructures cloud avec intégration d'IA pour détection proactive des menaces.","Laval","[]","CA","QC","[]","IMPORT","https://cybersentinel.ca","[""cybersécurité"", ""cloud security"", ""IA""]","Technologies & IA","82","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://cybersentinel.ca","company","[]","0.8","Technologies & IA","[]","[""cybersécurité"", ""Technologies & IA"", ""cloud""]","cybersentinel.ca","CyberSentinel Solutions","cybersentinel solutions","153122037ac1430e9a005d0a","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Scale-up qui développe une plateforme blockchain sécurisée pour la gestion automatisée et transparente des transactions financières.","Montreal","[]","CA","QC","[]","IMPORT","https://ledgerstream.io","[""blockchain"", ""fintech"", ""sécurité financière""]","Technologies & IA","85","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://ledgerstream.io","company","[]","0.83","Technologies & IA","[]","[""blockchain"", ""fintech"", ""Technologies & IA""]","ledgerstream.io","LedgerStream Technologies","ledgerstream technologies","dcfd311ca5154d6e8626cd12","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise cleantech qui utilise l'intelligence artificielle pour analyser les données environnementales et optimiser la consommation énergétique.","Sherbrooke","[]","CA","QC","[]","IMPORT","https://greenpulseanalytics.com","[""IA"", ""analyse de données"", ""environnement""]","Technologies & IA","80","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://greenpulseanalytics.com","company","[]","0.78","Technologies & IA","[]","[""cleantech"", ""données"", ""IA""]","greenpulseanalytics.com","GreenPulse Analytics","greenpulse analytics","3204639b6f764bdbbd1e5138","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup développant des solutions SaaS basées sur l'IA pour améliorer l'engagement et la performance des étudiants en milieu scolaire et universitaire.","Montreal","[]","CA","QC","[]","IMPORT","https://eduvantagelabs.qc.ca","[""IA"", ""enseignement numérique"", ""plateformes éducatives""]","Technologies & IA","81","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://eduvantagelabs.qc.ca","company","[]","0.79","Technologies & IA","[]","[""edtech"", ""SaaS"", ""Technologies & IA""]","eduvantagelabs.qc.ca","EduVantage Labs","eduvantage labs","70d09a37aded459cb4cb8d72","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
